model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,make
 Mokka X,2016,"$11,495 ",Manual,30345,Diesel,30,65.7,1.6,vauxhall
 Fiesta,2020,"$19,995 ",Manual,1732,Petrol,145,55.4,1,ford
 X5,2019,"$49,488 ",Automatic,6748,Petrol,145,27.2,3,BMW
 Fiesta,2016,"$9,695 ",Manual,25146,Petrol,0,65.7,1,ford
 Golf SV,2018,"$15,490 ",Manual,23500,Petrol,145,55.4,1.5,volkswagen
 Ioniq,2018,"$16,495 ",Automatic,28227,Hybrid,135,78.5,1.6,hyundi
 A4,2015,"$12,097 ",Semi-Auto,48268,Diesel,125,56.5,2,Audi
 Focus,2013,"$5,999 ",Manual,59477,Petrol,30,56.5,1,ford
 C Class,2019,"$25,699 ",Semi-Auto,11793,Petrol,145,47.1,1.5,merc
 A Class,2017,"$19,690 ",Semi-Auto,20124,Diesel,20,67.3,2.1,merc
 Edge,2017,"$22,511 ",Semi-Auto,25725,Diesel,145,47.9,2,ford
 Polo,2019,"$12,590 ",Manual,9198,Petrol,150,48.7,1,volkswagen
 Fiesta,2018,"$10,570 ",Manual,14112,Petrol,145,58.9,1,ford
 Astra,2017,"$9,341 ",Manual,34621,Diesel,145,76.3,1.6,vauxhall
 Polo,2015,"$7,498 ",Manual,22208,Petrol,20,60.1,1,volkswagen
 Passat,2015,"$7,393 ",Manual,124000,Diesel,20,67.3,2,volkswagen
 EcoSport,2019,"$15,495 ",Automatic,14447,Petrol,145,45.6,1,ford
 Astra,2019,"$15,000 ",Automatic,6094,Petrol,150,51.4,1.4,vauxhall
 E Class,2017,"$18,999 ",Automatic,36738,Diesel,145,65.7,2,merc
 Up,2018,"$7,495 ",Manual,11032,Petrol,145,62.8,1,volkswagen
 Astra,2018,"$12,795 ",Manual,167,Petrol,145,52.3,1.4,vauxhall
 Aygo,2018,"$9,300 ",Manual,11933,Petrol,145,56.5,1,toyota
 Superb,2019,"$16,998 ",Semi-Auto,37334,Diesel,150,62.8,2,skoda
 Mokka X,2018,"$13,500 ",Manual,9046,Petrol,145,47.1,1.4,vauxhall
 Zafira,2017,"$9,970 ",Manual,32787,Petrol,200,41.5,1.4,vauxhall
 Up,2020,"$10,990 ",Manual,1201,Petrol,145,54.3,1,volkswagen
 S-MAX,2014,"$11,995 ",Automatic,25459,Diesel,300,39.8,2.2,ford
 SLK,2008,"$5,850 ",Automatic,78954,Petrol,300,34.4,1.8,merc
 Golf,2019,"$29,250 ",Semi-Auto,9430,Petrol,145,37.7,2,volkswagen
 RAV4,2015,"$13,200 ",Manual,10763,Diesel,125,57.6,2,toyota
 Up,2020,"$10,950 ",Manual,1000,Petrol,145,54.3,1,volkswagen
 Yaris,2017,"$12,495 ",Automatic,13356,Hybrid,0,86,1.5,toyota
 Q7,2019,"$46,426 ",Automatic,6063,Diesel,145,32.8,3,Audi
 1 Series,2017,"$19,761 ",Semi-Auto,39681,Petrol,200,39.8,3,BMW
 A3,2015,"$9,995 ",Manual,29565,Petrol,125,53.3,1.4,Audi
 A Class,2017,"$17,699 ",Semi-Auto,6498,Petrol,145,52.3,1.6,merc
 Santa Fe,2017,"$22,480 ",Semi-Auto,26551,Diesel,150,42.8,2.2,hyundi
 Golf,2018,"$13,941 ",Manual,19642,Petrol,145,54.3,1.4,volkswagen
 Golf SV,2017,"$13,465 ",Manual,16539,Diesel,30,65.7,2,volkswagen
 Crossland X,2019,"$12,397 ",Manual,17123,Petrol,145,44.8,1.2,vauxhall
 Ioniq,2018,"$13,709 ",Automatic,38469,Hybrid,135,78.5,1.6,hyundi
 A4,2016,"$15,990 ",Manual,30625,Diesel,30,67.3,2,Audi
 Tucson,2019,"$15,498 ",Manual,17966,Petrol,145,34.9,1.6,hyundi
 Aygo,2019,"$9,995 ",Manual,25,Petrol,145,56.5,1,toyota
 Astra,2016,"$10,490 ",Semi-Auto,34754,Diesel,125,61.4,1.6,vauxhall
 Fiesta,2016,"$10,298 ",Manual,18016,Petrol,0,65.7,1,ford
 1 Series,2017,"$13,000 ",Manual,26050,Diesel,145,68.9,2,BMW
 C Class,2017,"$31,399 ",Semi-Auto,19224,Petrol,145,36.2,3,merc
 C Class,2017,"$19,480 ",Semi-Auto,16419,Diesel,30,64.2,2.1,merc
 7 Series,2016,"$26,800 ",Automatic,30194,Diesel,150,54.3,3,BMW
 Q3,2013,"$11,477 ",Manual,73000,Diesel,145,54.3,2,Audi
 T-Roc,2019,"$25,990 ",Manual,10986,Diesel,145,50.4,2,volkswagen
 E Class,2017,"$22,970 ",Semi-Auto,22699,Diesel,145,70.6,2,merc
 Astra,2016,"$7,270 ",Manual,70065,Petrol,20,64.2,1,vauxhall
 C Class,2017,"$17,490 ",Automatic,31000,Diesel,145,61.4,2.1,merc
 Polo,2016,"$9,495 ",Manual,28404,Diesel,0,83.1,1.4,volkswagen
 Q2,2019,"$22,500 ",Semi-Auto,4781,Petrol,150,43.5,1,Audi
 A1,2019,"$22,500 ",Semi-Auto,2963,Petrol,145,44.8,1.5,Audi
 Adam,2016,"$6,699 ",Manual,29000,Petrol,125,53.3,1.2,vauxhall
 Kuga,2018,"$21,570 ",Semi-Auto,16276,Diesel,150,54.3,2,ford
 2 Series,2016,"$18,999 ",Automatic,35159,Petrol,260,37.2,3,BMW
 Astra,2019,"$14,999 ",Automatic,3472,Petrol,145,51.4,1.4,vauxhall
 4 Series,2019,"$25,000 ",Semi-Auto,8592,Diesel,145,65.7,2,BMW
 Focus,2019,"$15,510 ",Manual,1786,Petrol,145,58.9,1,ford
 Octavia,2019,"$13,499 ",Manual,14069,Diesel,145,68.9,1.6,skoda
 Yaris,2017,"$13,495 ",Automatic,20083,Hybrid,140,67.3,1.5,toyota
 Golf,2016,"$20,998 ",Manual,18949,Petrol,200,39.8,2,volkswagen
 Octavia,2017,"$10,975 ",Semi-Auto,31283,Diesel,0,76.4,1.6,skoda
 Fiesta,2018,"$12,300 ",Manual,11173,Petrol,150,56.5,1,ford
 Golf,2015,"$11,495 ",Manual,50000,Petrol,30,53.3,1.4,volkswagen
 X3,2019,"$33,990 ",Semi-Auto,11,Diesel,145,54.3,2,BMW
 Corsa,2019,"$8,499 ",Manual,15684,Petrol,145,43.5,1.4,vauxhall
 Focus,2018,"$13,495 ",Semi-Auto,7672,Petrol,145,51.4,1,ford
 Astra,2017,"$11,540 ",Automatic,18995,Petrol,145,51.4,1.4,vauxhall
 Corsa,2017,"$6,599 ",Manual,22689,Petrol,30,55.4,1.4,vauxhall
 X1,2016,"$19,498 ",Semi-Auto,20153,Diesel,145,55.4,2,BMW
 E Class,2017,"$18,600 ",Automatic,40337,Diesel,145,72.4,2,merc
 5 Series,2020,"$36,985 ",Semi-Auto,12,Diesel,145,56.5,3,BMW
 Fiesta,2015,"$9,450 ",Manual,21930,Petrol,0,65.7,1,ford
 CL Class,2015,"$18,170 ",Semi-Auto,16317,Diesel,20,62.8,2.1,merc
 A6,2016,"$17,975 ",Semi-Auto,50000,Diesel,30,61.4,2,Audi
 Astra,2017,"$9,995 ",Manual,32000,Diesel,20,74.3,1.6,vauxhall
 Golf,2017,"$17,498 ",Semi-Auto,35501,Diesel,30,62.8,2,volkswagen
 CLA Class,2020,"$32,995 ",Automatic,2000,Petrol,150,44.8,1.3,merc
 Golf SV,2017,"$12,792 ",Manual,17944,Petrol,145,55.4,1.4,volkswagen
 6 Series,2017,"$22,449 ",Automatic,14400,Diesel,160,51.4,3,BMW
 X1,2016,"$16,998 ",Manual,13612,Diesel,125,60.1,2,BMW
 Karoq,2019,"$21,690 ",Automatic,3225,Petrol,145,41.5,1.5,skoda
 Aygo,2016,"$6,495 ",Manual,26556,Petrol,0,69,1,toyota
 C Class,2019,"$26,995 ",Semi-Auto,1,Diesel,145,54.3,1.6,merc
 Up,2018,"$7,990 ",Manual,1171,Petrol,145,54.3,1,volkswagen
 Kodiaq,2019,"$29,990 ",Automatic,5475,Petrol,150,31.4,2,skoda
 V Class,2015,"$26,950 ",Automatic,49000,Diesel,235,44.8,2.2,merc
 Focus,2011,"$5,490 ",Manual,68274,Petrol,145,47.9,1.6,ford
 Tourneo Connect,2017,"$13,950 ",Automatic,15852,Diesel,145,56.6,1.5,ford
 Golf,2018,"$15,189 ",Manual,36320,Diesel,145,61.4,1.6,volkswagen
 Golf,2019,"$18,798 ",Semi-Auto,8650,Diesel,145,52.3,2,volkswagen
 3 Series,2019,"$30,495 ",Automatic,8,Diesel,145,50.4,2,BMW
 3 Series,2015,"$13,995 ",Semi-Auto,37798,Diesel,30,64.2,2,BMW
 Octavia,2016,"$10,950 ",Manual,23750,Diesel,0,72.4,1.6,skoda
 Fiesta,2013,"$5,500 ",Manual,70400,Diesel,0,76.4,1.5,ford
 Aygo,2016,"$6,998 ",Manual,31501,Petrol,0,69,1,toyota
 Mokka,2016,"$10,100 ",Manual,25740,Petrol,160,44.8,1.4,vauxhall
 I30,2013,"$5,998 ",Manual,62227,Petrol,165,46,1.4,hyundi
 Focus,2018,"$14,950 ",Manual,581,Petrol,145,58.9,1,ford
 Auris,2014,"$6,995 ",Manual,31000,Petrol,145,46.3,1.6,toyota
 Corsa,2009,"$2,940 ",Manual,72000,Petrol,165,46.3,1.2,vauxhall
 A Class,2018,"$18,950 ",Automatic,9717,Petrol,145,28.5,1.3,merc
 C Class,2016,"$18,150 ",Semi-Auto,41356,Diesel,30,61.4,2.1,merc
 Focus,2013,"$5,490 ",Manual,65815,Diesel,20,67.3,1.6,ford
 A6,2016,"$14,498 ",Semi-Auto,49458,Diesel,30,61.4,2,Audi
 1 Series,2015,"$13,440 ",Semi-Auto,66471,Petrol,145,47.9,1.6,BMW
 E Class,2019,"$28,866 ",Automatic,13089,Diesel,145,58.9,2,merc
 Fabia,2018,"$8,998 ",Manual,11189,Petrol,145,57.7,1,skoda
 Insignia,2016,"$9,499 ",Manual,39408,Diesel,20,68.9,1.6,vauxhall
 Corsa,2019,"$10,998 ",Manual,2674,Petrol,145,43.5,1.4,vauxhall
 Citigo,2018,"$7,500 ",Manual,12709,Petrol,145,67.3,1,skoda
 Zafira,2014,"$4,995 ",Manual,49853,Petrol,235,39.2,1.8,vauxhall
 Fiesta,2017,"$9,495 ",Automatic,30600,Petrol,0,57.7,1,ford
 A4,2019,"$29,985 ",Automatic,10,Petrol,145,42.8,2,Audi
 A Class,2019,"$26,490 ",Semi-Auto,12984,Petrol,150,53.3,1.3,merc
 Viva,2016,"$4,990 ",Manual,39306,Petrol,20,62.8,1,vauxhall
 Corsa,2016,"$6,491 ",Manual,15918,Petrol,30,55.4,1.4,vauxhall
 3 Series,2017,"$15,300 ",Automatic,39428,Other,0,148.7,2,BMW
 Fabia,2019,"$8,995 ",Manual,4290,Petrol,150,57.7,1,skoda
 Scirocco,2016,"$14,966 ",Manual,25624,Diesel,20,55.4,2,volkswagen
 3 Series,2015,"$20,990 ",Manual,17620,Petrol,265,36.7,3,BMW
 i3,2017,"$19,895 ",Automatic,29851,Hybrid,0,470.8,0,BMW
 Grand C-MAX,2017,"$11,400 ",Manual,22648,Petrol,30,54.3,1,ford
 Corsa,2015,"$7,699 ",Automatic,39000,Petrol,150,47.1,1.4,vauxhall
 Q3,2017,"$17,749 ",Manual,25737,Petrol,125,51.4,1.4,Audi
 Tiguan,2019,"$27,950 ",Automatic,2000,Diesel,145,39.8,2,volkswagen
 Q3,2020,"$26,500 ",Manual,1553,Petrol,145,40.9,1.5,Audi
 Mokka X,2017,"$10,780 ",Manual,9012,Petrol,145,47.1,1.4,vauxhall
 Focus,2017,"$9,620 ",Automatic,25668,Petrol,125,51.4,1,ford
 C Class,2019,"$24,099 ",Automatic,9501,Diesel,145,57.7,2.1,merc
 Mokka,2016,"$8,500 ",Manual,53984,Diesel,20,68.9,1.6,vauxhall
 Polo,2016,"$11,450 ",Manual,13200,Petrol,0,65.7,1,volkswagen
 Aygo,2018,"$7,795 ",Manual,21477,Petrol,150,68.9,1,toyota
 Corsa,2017,"$6,985 ",Manual,13306,Petrol,145,55.4,1.4,vauxhall
 Astra,2019,"$13,790 ",Manual,5926,Petrol,145,47.9,1.4,vauxhall
 Golf,2018,"$16,991 ",Manual,7500,Diesel,145,67.3,2,volkswagen
 SQ5,2014,"$19,400 ",Automatic,69682,Diesel,260,41.5,3,Audi
 Mondeo,2015,"$8,450 ",Manual,70068,Diesel,30,64.2,2,ford
 A3,2003,"$1,490 ",Automatic,101000,Diesel,240,44.5,1.9,Audi
 Tiguan,2019,"$28,300 ",Automatic,8549,Diesel,145,40.4,2,volkswagen
 Polo,2014,"$8,950 ",Manual,34000,Petrol,20,58.9,1.2,volkswagen
 Polo,2017,"$11,490 ",Manual,14201,Petrol,150,60.1,1.2,volkswagen
 X7,2019,"$62,995 ",Automatic,11055,Diesel,145,33.6,3,BMW
 Corolla,2019,"$18,700 ",Manual,6597,Petrol,145,39.2,1.2,toyota
 A1,2018,"$14,995 ",Manual,23102,Petrol,145,55.4,1.4,Audi
 Yaris,2012,"$5,495 ",Manual,37294,Diesel,20,72.4,1.4,toyota
 A7,2019,"$29,930 ",Automatic,13450,Diesel,140,52.3,3,Audi
 Mokka,2018,"$12,700 ",Manual,7375,Petrol,145,39.2,1.4,vauxhall
 Golf,2019,"$19,995 ",Semi-Auto,3000,Petrol,145,44.8,1.5,volkswagen
 1 Series,2019,"$15,989 ",Automatic,7892,Petrol,145,55.5,1.5,BMW
 Focus,2017,"$12,339 ",Manual,17333,Petrol,145,57.7,1,ford
 I10,2019,"$9,491 ",Manual,10,Petrol,145,49.6,1,hyundi
 Touareg,2019,"$38,989 ",Automatic,11393,Diesel,150,34.5,3,volkswagen
 C Class,2019,"$26,799 ",Semi-Auto,4793,Diesel,145,58.9,1.6,merc
 Focus,2017,"$11,200 ",Manual,15410,Diesel,145,74.3,1.5,ford
 Corsa,2014,"$5,980 ",Manual,32700,Petrol,125,51.4,1.2,vauxhall
 Insignia,2017,"$10,490 ",Automatic,44000,Diesel,145,55.4,1.6,vauxhall
 B Class,2019,"$27,199 ",Semi-Auto,8982,Diesel,145,54.3,2,merc
 Focus,2017,"$10,998 ",Manual,14653,Diesel,0,74.3,1.5,ford
 Fiesta,2017,"$11,000 ",Manual,20978,Petrol,0,65.7,1,ford
 Santa Fe,2019,"$36,995 ",Automatic,100,Diesel,145,39.8,2.2,hyundi
 A3,2019,"$17,400 ",Manual,4557,Diesel,145,49.6,1.6,Audi
 Fiesta,2018,"$8,700 ",Manual,37345,Petrol,145,64.2,1.1,ford
 Astra,2019,"$11,495 ",Manual,18240,Petrol,145,48.7,1,vauxhall
 CLS Class,2011,"$11,995 ",Automatic,88559,Diesel,200,46.3,3,merc
 Octavia,2019,"$20,298 ",Semi-Auto,10,Diesel,145,54.3,2,skoda
 Crossland X,2019,"$12,272 ",Manual,10056,Petrol,145,44.8,1.2,vauxhall
 C Class,2019,"$28,599 ",Semi-Auto,1171,Diesel,145,61.4,2,merc
 Q3,2019,"$26,500 ",Manual,1445,Diesel,145,40.9,2,Audi
 Tiguan,2016,"$16,690 ",Semi-Auto,31411,Diesel,165,49.6,2,volkswagen
 Corsa,2014,"$6,488 ",Manual,66601,Petrol,235,38.7,1.6,vauxhall
 3 Series,2014,"$12,990 ",Manual,30000,Petrol,160,44.8,2,BMW
 Fiesta,2018,"$8,991 ",Manual,13363,Petrol,145,55.4,1.1,ford
 A3,2018,"$14,650 ",Manual,8507,Diesel,145,49.6,1.6,Audi
 Q3,2017,"$21,000 ",Automatic,19000,Petrol,145,47.9,1.4,Audi
 Fiesta,2019,"$16,040 ",Manual,1891,Petrol,145,58.9,1,ford
 4 Series,2017,"$16,800 ",Automatic,44011,Diesel,150,65.7,2,BMW
 2 Series,2019,"$19,495 ",Automatic,8500,Diesel,145,54.3,1.5,BMW
 C-HR,2017,"$21,000 ",Automatic,17996,Hybrid,0,74.3,1.8,toyota
 Q5,2016,"$22,495 ",Semi-Auto,25721,Diesel,200,47.1,2,Audi
 Q2,2020,"$30,995 ",Semi-Auto,2142,Diesel,145,44.8,2,Audi
 Golf,2019,"$20,995 ",Semi-Auto,9767,Petrol,145,43.5,1.5,volkswagen
 Octavia,2018,"$17,490 ",Manual,13825,Petrol,150,43.5,2,skoda
 Tiguan,2019,"$20,500 ",Manual,4000,Petrol,145,38.2,1.5,volkswagen
 A3,2019,"$23,950 ",Semi-Auto,4876,Diesel,145,52.3,1.6,Audi
 A3,2019,"$19,779 ",Manual,9853,Diesel,145,51.4,1.6,Audi
 Tiguan Allspace,2019,"$32,950 ",Semi-Auto,2678,Diesel,145,44.1,2,volkswagen
 A Class,2017,"$16,565 ",Semi-Auto,18398,Petrol,145,53.3,1.6,merc
 Mokka,2015,"$8,700 ",Manual,41941,Petrol,200,42.2,1.4,vauxhall
 Yaris,2018,"$9,995 ",Manual,22889,Petrol,145,56.5,1.5,toyota
 2 Series,2016,"$17,998 ",Semi-Auto,28099,Diesel,145,55.4,2,BMW
 C-MAX,2017,"$10,998 ",Manual,7118,Petrol,30,55.4,1,ford
 Up,2017,"$7,640 ",Manual,21882,Petrol,145,64.2,1,volkswagen
 A3,2019,"$32,850 ",Semi-Auto,6337,Petrol,145,34.9,2,Audi
 A5,2017,"$21,995 ",Semi-Auto,66483,Petrol,145,38.2,3,Audi
 Citigo,2017,"$7,495 ",Manual,19545,Petrol,145,64.2,1,skoda
 C Class,2016,"$19,750 ",Semi-Auto,31467,Diesel,30,64.2,2.1,merc
 Astra,2017,"$10,400 ",Manual,35394,Diesel,0,76.3,1.6,vauxhall
 I20,2017,"$8,291 ",Manual,17839,Petrol,145,58.9,1.2,hyundi
 Corsa,2017,"$7,899 ",Manual,11309,Petrol,150,55.4,1.4,vauxhall
 Astra,2019,"$14,250 ",Manual,4300,Diesel,145,58.9,1.6,vauxhall
 B Class,2019,"$20,499 ",Automatic,15861,Petrol,145,45.6,1.3,merc
 M Class,2015,"$18,789 ",Automatic,68279,Diesel,300,39.2,3,merc
 A3,2017,"$11,600 ",Manual,40795,Diesel,0,74.3,1.6,Audi
 2 Series,2019,"$27,016 ",Automatic,1402,Petrol,145,39.8,3,BMW
 Fiesta,2019,"$13,998 ",Automatic,5674,Petrol,150,48.7,1,ford
 5 Series,2015,"$12,900 ",Automatic,82000,Diesel,30,62.8,2,BMW
 Fiesta,2015,"$6,495 ",Manual,58693,Diesel,0,78.5,1.6,ford
 Tiguan,2019,"$19,995 ",Manual,12144,Petrol,150,40.9,1.5,volkswagen
 Astra,2016,"$10,465 ",Manual,14000,Petrol,145,47.1,1.6,vauxhall
 Fiesta,2019,"$14,550 ",Manual,10071,Petrol,145,60.1,1,ford
 Q5,2019,"$39,990 ",Automatic,2632,Diesel,145,38.2,2,Audi
 Fiesta,2016,"$7,950 ",Manual,16674,Petrol,125,54.3,1.2,ford
 Mokka X,2016,"$11,948 ",Automatic,16593,Petrol,160,43.5,1.4,vauxhall
 Yaris,2017,"$9,498 ",Manual,23277,Petrol,30,55,1.3,toyota
 A Class,2020,"$24,780 ",Manual,9,Petrol,145,28.5,1.3,merc
 Prius,2015,"$21,990 ",Automatic,30862,Other,10,64.2,1.8,toyota
 C Class,2016,"$17,491 ",Automatic,18500,Diesel,20,65.7,2.1,merc
 Golf,2017,"$16,900 ",Manual,3112,Petrol,20,60.1,1.4,volkswagen
 A5,2018,"$23,015 ",Semi-Auto,14000,Diesel,150,67.3,2,Audi
 I30,2016,"$9,998 ",Manual,12668,Petrol,145,48.7,1.4,hyundi
 Citigo,2017,"$8,295 ",Manual,6630,Petrol,145,68.9,1,skoda
 A1,2016,"$9,496 ",Manual,56875,Petrol,30,57.6,1.4,Audi
 Auris,2017,"$10,750 ",Manual,14497,Petrol,30,58.9,1.2,toyota
 CLS Class,2013,"$12,000 ",Automatic,65000,Diesel,150,54.3,2.1,merc
 Yaris,2017,"$9,990 ",Automatic,5626,Petrol,30,58,1.3,toyota
 Fiesta,2017,"$7,489 ",Manual,29094,Petrol,145,65.7,1,ford
 I20,2015,"$7,290 ",Manual,24586,Petrol,30,55.4,1.2,hyundi
 Q3,2020,"$28,995 ",Manual,1817,Diesel,145,42.8,2,Audi
 A3,2019,"$22,500 ",Semi-Auto,4681,Diesel,145,53.3,1.6,Audi
 Up,2017,"$6,999 ",Manual,27968,Petrol,145,64.2,1,volkswagen
 Polo,2017,"$9,100 ",Manual,33267,Petrol,145,60.1,1.2,volkswagen
 C-MAX,2017,"$8,500 ",Automatic,47350,Diesel,20,64.2,1.5,ford
 Q2,2019,"$26,998 ",Semi-Auto,19,Diesel,150,46.3,2,Audi
 Q2,2019,"$30,000 ",Semi-Auto,3059,Petrol,145,33.2,2,Audi
 A Class,2019,"$22,966 ",Automatic,3535,Petrol,145,53.3,1.3,merc
 Grandland X,2019,"$16,000 ",Automatic,1612,Petrol,145,43.5,1.2,vauxhall
 A3,2009,"$5,295 ",Manual,63899,Petrol,200,40.9,1.6,Audi
 Q3,2019,"$30,950 ",Manual,100,Diesel,145,42.8,2,Audi
 Polo,2018,"$13,495 ",Manual,10000,Petrol,150,62.8,1,volkswagen
 Yeti Outdoor,2016,"$11,699 ",Semi-Auto,5928,Petrol,125,51.4,1.2,skoda
 A4,2017,"$15,540 ",Automatic,35452,Diesel,145,70.6,2,Audi
 A3,2019,"$25,450 ",Semi-Auto,3946,Diesel,145,51.4,2,Audi
 C-MAX,2017,"$11,200 ",Manual,6947,Petrol,30,55.4,1,ford
 1 Series,2016,"$13,499 ",Manual,40855,Diesel,30,65.7,2,BMW
 Polo,2017,"$9,495 ",Manual,33019,Petrol,20,60.1,1.2,volkswagen
 SL CLASS,2016,"$18,490 ",Semi-Auto,33650,Diesel,30,70.6,2.1,merc
 1 Series,2019,"$26,988 ",Automatic,5000,Diesel,145,51.4,2,BMW
 A Class,2016,"$17,000 ",Manual,28142,Petrol,200,41.5,2,merc
 Fabia,2017,"$10,790 ",Automatic,18828,Petrol,20,60.1,1.2,skoda
 S-MAX,2019,"$21,673 ",Manual,13490,Diesel,145,56.5,2,ford
 Yeti Outdoor,2015,"$11,790 ",Manual,37601,Diesel,160,49.6,2,skoda
 Focus,2016,"$22,992 ",Manual,17515,Petrol,235,36.7,2.3,ford
 Kodiaq,2019,"$27,850 ",Manual,7209,Diesel,145,52.3,2,skoda
 Focus,2017,"$10,660 ",Manual,25453,Petrol,20,61.4,1,ford
 Q3,2017,"$17,995 ",Manual,15968,Petrol,150,49.6,1.4,Audi
 CL Class,2014,"$17,298 ",Semi-Auto,33274,Diesel,30,62.8,2.1,merc
 Corsa,2015,"$6,732 ",Manual,22046,Petrol,125,54.3,1.4,vauxhall
 Mondeo,2015,"$10,490 ",Automatic,54000,Diesel,125,58.9,2,ford
 Polo,2017,"$10,950 ",Manual,11518,Petrol,20,60.1,1.2,volkswagen
 I10,2017,"$6,991 ",Manual,14931,Petrol,145,60.1,1,hyundi
 Golf,2016,"$19,999 ",Automatic,12140,Petrol,160,44.1,2,volkswagen
 Golf,2016,"$12,400 ",Manual,30312,Diesel,0,74.3,1.6,volkswagen
 Q3,2017,"$24,790 ",Automatic,14059,Petrol,150,40.4,2,Audi
 Santa Fe,2015,"$17,000 ",Semi-Auto,34203,Diesel,260,42.2,2.2,hyundi
 Mokka,2016,"$10,891 ",Manual,12002,Petrol,200,42.2,1.4,vauxhall
 Tiguan,2018,"$23,499 ",Semi-Auto,10050,Diesel,150,49.6,2,volkswagen
 Focus,2014,"$7,211 ",Manual,67951,Diesel,125,56.5,2,ford
 Fiesta,2016,"$7,250 ",Manual,38830,Petrol,0,65.7,1,ford
 C Class,2017,"$18,998 ",Semi-Auto,26866,Diesel,30,64.2,2.1,merc
 KA,2016,"$5,000 ",Manual,55000,Petrol,30,57.7,1.2,ford
 Focus,2019,"$19,990 ",Automatic,5796,Diesel,145,47.9,1.5,ford
 KA,2017,"$8,000 ",Manual,12950,Petrol,145,57.7,1.2,ford
 A5,2019,"$33,490 ",Automatic,3798,Petrol,145,37.2,2,Audi
 Polo,2017,"$9,995 ",Manual,22024,Petrol,150,60.1,1,volkswagen
 GT86,2018,"$18,490 ",Manual,31231,Petrol,150,36.2,2,toyota
 X5,2019,"$48,190 ",Automatic,7580,Diesel,145,37.7,3,BMW
 Golf,2016,"$15,542 ",Manual,43994,Diesel,20,67.3,2,volkswagen
 Focus,2018,"$15,495 ",Manual,14298,Petrol,145,58.9,1,ford
 Kuga,2018,"$19,980 ",Manual,18911,Diesel,145,39.2,2,ford
 Astra,2018,"$11,995 ",Manual,7500,Diesel,150,76.3,1.6,vauxhall
 C-MAX,2019,"$14,299 ",Manual,5759,Petrol,145,48.7,1,ford
 Auris,2019,"$17,995 ",Automatic,13250,Hybrid,135,65.6,1.8,toyota
 A4,2017,"$18,990 ",Semi-Auto,30417,Diesel,30,62.8,2,Audi
 Corsa,2016,"$7,998 ",Manual,15697,Petrol,30,55.4,1.4,vauxhall
 Focus,2013,"$11,990 ",Manual,47729,Petrol,235,39.2,2,ford
 Q2,2020,"$27,490 ",Semi-Auto,4554,Petrol,150,42.2,1.5,Audi
 Polo,2017,"$9,690 ",Manual,14424,Petrol,145,58.9,1,volkswagen
 Astra,2019,"$14,500 ",Manual,3785,Petrol,150,51.4,1.4,vauxhall
 C Class,2015,"$14,490 ",Automatic,78000,Diesel,30,64.2,2.1,merc
 Kuga,2019,"$19,498 ",Manual,9420,Petrol,145,39.2,1.5,ford
 Polo,2019,"$11,950 ",Manual,7000,Petrol,150,48.7,1,volkswagen
 Hilux,2018,"$23,994 ",Automatic,16734,Diesel,265,36.2,2.4,toyota
 Galaxy,2017,"$17,999 ",Manual,34036,Diesel,125,56.5,2,ford
 Arteon,2019,"$22,999 ",Automatic,2187,Petrol,145,48.7,1.5,volkswagen
 Corsa,2019,"$8,995 ",Manual,6688,Petrol,145,43.5,1.4,vauxhall
 Fiesta,2019,"$11,698 ",Manual,18115,Petrol,145,58.9,1,ford
 A1,2016,"$13,500 ",Manual,21263,Diesel,0,80.7,1.6,Audi
 Golf,2019,"$17,298 ",Manual,9205,Petrol,145,47.1,1.5,volkswagen
 T-Roc,2019,"$27,201 ",Semi-Auto,1293,Petrol,145,39.8,1.5,volkswagen
 Kuga,2019,"$19,450 ",Manual,14010,Diesel,145,47.9,2,ford
 A Class,2020,"$24,990 ",Manual,208,Petrol,145,47.1,1.3,merc
 5 Series,2019,"$25,980 ",Semi-Auto,9630,Petrol,145,50.4,2,BMW
 C Class,2019,"$40,749 ",Semi-Auto,7749,Petrol,145,30.4,3,merc
 Polo,2017,"$14,995 ",Manual,12232,Petrol,145,47,1.8,volkswagen
 GLA Class,2017,"$16,800 ",Automatic,21599,Diesel,30,64.2,2.1,merc
 M4,2019,"$39,275 ",Semi-Auto,8787,Petrol,145,34,3,BMW
 1 Series,2019,"$19,999 ",Semi-Auto,5963,Petrol,145,54.3,1.5,BMW
 Astra,2016,"$7,195 ",Manual,82511,Diesel,0,83.1,1.6,vauxhall
 Focus,2018,"$19,490 ",Manual,3000,Petrol,145,51.4,1.5,ford
 Golf,2011,"$7,450 ",Manual,54973,Petrol,165,44.1,1.4,volkswagen
 X4,2019,"$36,490 ",Semi-Auto,8432,Diesel,150,42.8,2,BMW
 Golf,2019,"$20,150 ",Semi-Auto,3500,Petrol,145,43.5,1.5,volkswagen
 A1,2015,"$11,995 ",Manual,26000,Petrol,0,67.3,1,Audi
 Mokka,2019,"$14,995 ",Manual,9852,Petrol,145,39.2,1.4,vauxhall
 Tucson,2018,"$17,190 ",Semi-Auto,33026,Diesel,145,57.7,1.7,hyundi
 Focus,2012,"$4,499 ",Manual,93193,Petrol,145,47.9,1.6,ford
 X4,2016,"$18,995 ",Automatic,74001,Diesel,145,54.3,2,BMW
 Verso,2009,"$2,300 ",Manual,131797,Diesel,160,51.4,2,toyota
